placement	placement_desc	version	version_label	size_bytes	reps	median_us	min_us	max_us	spread_pct	bandwidth_GBs
2node	inter-node	recon_rdma	Reconverse RDMA	67108864	5	2865.364432	2863.100886	2865.804911	0.09	23.4207
2node	inter-node	recon_persist	Reconverse persist+RDMA	16	5	6.740808	6.437898	8.132219	26.32	0.0024
2node	inter-node	recon_persist	Reconverse persist+RDMA	32	5	6.505728	6.399155	8.039117	25.63	0.0049
2node	inter-node	recon_persist	Reconverse persist+RDMA	64	5	8.912921	8.706570	10.736108	23.31	0.0072
2node	inter-node	recon_persist	Reconverse persist+RDMA	128	5	9.025216	8.802295	10.835886	23.10	0.0142
2node	inter-node	recon_persist	Reconverse persist+RDMA	256	5	9.531379	9.389520	11.703253	24.64	0.0269
2node	inter-node	recon_persist	Reconverse persist+RDMA	512	5	9.524226	9.370208	11.726141	25.14	0.0538
2node	inter-node	recon_persist	Reconverse persist+RDMA	1024	5	9.593129	9.446025	11.803269	24.95	0.1067
2node	inter-node	recon_persist	Reconverse persist+RDMA	2048	5	9.846687	9.679437	11.152864	15.22	0.2080
2node	inter-node	recon_persist	Reconverse persist+RDMA	4096	5	9.935141	9.771109	11.223912	14.87	0.4123
2node	inter-node	recon_persist	Reconverse persist+RDMA	8192	5	10.213017	10.056257	11.519670	14.55	0.8021
2node	inter-node	recon_persist	Reconverse persist+RDMA	16384	5	10.577559	10.398030	11.849761	13.96	1.5489
2node	inter-node	recon_persist	Reconverse persist+RDMA	32768	5	11.296391	11.060238	12.541056	13.39	2.9007
2node	inter-node	recon_persist	Reconverse persist+RDMA	65536	5	12.823582	12.546420	13.964772	11.30	5.1106
2node	inter-node	recon_persist	Reconverse persist+RDMA	131072	5	15.604854	15.343428	16.703129	8.86	8.3994
2node	inter-node	recon_persist	Reconverse persist+RDMA	262144	5	21.169662	21.014929	22.396088	6.57	12.3830
2node	inter-node	recon_persist	Reconverse persist+RDMA	524288	5	32.714725	32.521963	33.863068	4.12	16.0261
2node	inter-node	recon_persist	Reconverse persist+RDMA	1048576	5	56.154132	55.952191	57.276845	2.37	18.6732
2node	inter-node	recon_persist	Reconverse persist+RDMA	2097152	5	103.182197	103.041291	104.472399	1.39	20.3247
2node	inter-node	recon_persist	Reconverse persist+RDMA	4194304	5	197.560787	197.487354	199.365377	0.95	21.2304
2node	inter-node	recon_persist	Reconverse persist+RDMA	8388608	5	388.829112	388.744473	390.327454	0.41	21.5740
2node	inter-node	recon_persist	Reconverse persist+RDMA	16777216	5	777.307034	744.364023	777.514219	4.45	21.5838
2node	inter-node	recon_persist	Reconverse persist+RDMA	33554432	5	1577.877045	1572.355151	1583.221078	0.69	21.2656
2node	inter-node	recon_persist	Reconverse persist+RDMA	67108864	5	3169.808149	3126.700401	3175.574183	1.56	21.1713
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	16	5	3.684759	3.436923	3.835440	11.60	0.0043
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	32	5	3.562570	3.319144	3.643155	9.76	0.0090
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	64	5	3.540039	3.321767	3.627419	9.20	0.0181
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	128	5	4.251599	3.964305	4.380584	10.50	0.0301
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	256	5	4.475474	4.259586	4.553914	6.91	0.0572
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	512	5	4.479766	4.155874	4.690409	12.86	0.1143
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	1024	5	4.350781	4.294276	4.442930	3.46	0.2354
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	2048	5	4.631996	4.588127	4.670739	1.80	0.4421
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	4096	5	5.029678	4.942179	5.033731	1.85	0.8144
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	8192	5	16.840696	16.637325	17.138481	3.01	0.4864
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	16384	5	17.193198	17.064691	17.356396	1.71	0.9529
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	32768	5	17.951012	17.839670	18.035889	1.10	1.8254
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	65536	5	19.256949	19.135356	19.378901	1.27	3.4032
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	131072	5	22.064567	21.981955	22.178769	0.90	5.9404
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	262144	5	27.607799	27.365446	27.715325	1.28	9.4953
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	524288	5	38.201928	38.142085	38.583398	1.16	13.7241
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	1048576	5	60.076714	60.042739	60.140729	0.16	17.4540
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	2097152	5	104.534149	104.090452	104.561687	0.45	20.0619
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	4194304	5	194.537282	193.231106	194.616556	0.72	21.5604
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	8388608	5	371.104360	369.143128	371.153593	0.54	22.6044
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	16777216	5	715.918303	713.879108	718.222141	0.61	23.4345
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	33554432	5	8010.175109	7978.136778	8044.644594	0.83	4.1890
2node	inter-node	recon_normal_nd8	Reconverse msg (8 dev)	67108864	5	15273.556709	15246.154785	15312.371135	0.43	4.3938
